S. No.,States/UTs,Estimated share of Tourism (Direct and Indirect) in GSDP of States/UTs (in %)
1,Andaman & Nicobar Islands,14.65
2,Andhra Pradesh,9.58
3,Arunachal Pradesh,3.59
4,Assam,5.31
5,Bihar,6.13
6,Chandigarh,8.09
7,Chhattisgarh,4.84
8,Dadra & Nagar Haveli,0.52
9,Daman & Diu,0.48
10,Delhi,9.07
11,Goa,16.86
12,Gujarat,7.39
13,Haryana,7.14
14,Himachal Pradesh,9.12
15,Jammu & Kashmir,7.59
16,Jharkhand,5.32
17,Karnataka,7.25
18,Kerala,9.52
19,Lakshadweep,7.86
20,Madhya Pradesh,5.23
21,Maharashtra,7.46
22,Manipur,4.16
23,Meghalaya,4.42
24,Mizoram,5.27
25,Nagaland,7.43
26,Odisha,7.25
27,Puducherry,4.03
28,Punjab,6.34
29,Rajasthan,7.68
30,Sikkim,5.09
31,Tamil Nadu,8.1
32,Tripura,5.74
33,Uttar Pradesh,5.35
34,Uttarakhand,9.68
35,West Bengal,7.13
